index,state,region,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score
35,Oklahoma,oklahoma,0.93,14.792063,0.004338168,17.050422,0.002276082,16.703441,0.020499597,22.672468,No policy,0,5.372427,15.436163,35959.51705,12.648032,135.653409,15.370645,0.072961373,29.88326,0.00052388,88.267003,17.4,10.156122,0.2,57.013767,1.3,39.033247,18.8,10.442306,66.6,20.417853,70.5,22.313379,0.838,39.87454,2,9.660181,0.009,7.878864,12538.14585,9.804089
36,Oregon,oregon,0.82,88.192899,0.041398171,71.623822,0.024672498,99.912884,0.045705862,89.337606,Policy in place,100,2.205241,84.815879,23997.2863,88.524324,424.694708,97.218124,0.178,99.493674,0.008139238,39.472732,7.7,74.509096,0.3,18.255185,1.3,45.266933,9.3,71.153928,11.3,92.892037,31.2,67.71341,0.968,97.606051,27.8,79.516518,0.031,90.258529,8628.216447,78.264043
37,Pennsylvania,pennsylvania,0.857,69.546589,0.054153965,81.601341,0.004838184,44.006942,0.038400697,76.99265,No policy,0,3.196371,56.96567,26958.40979,70.092125,205.09684,51.685111,0.091221735,54.352016,0.003103376,64.783853,9.2,59.252429,0.1,76.698624,1.1,55.843944,10.7,57.803108,25,66.900592,29.3,70.969006,0.835,38.38925,29.8,81.052887,0.033,93.112857,7786.026615,91.166539
38,Rhode Island,rhode island,0.879,53.825079,0.030570399,59.951889,0.004331187,38.567689,0.036402217,72.316702,Policy in place,100,2.285053,82.814489,23218.04511,91.818901,142.857143,18.737206,0.062140391,17.350929,0.015231634,23.011333,5.4,93.320019,0.09502141,82.304497,1.1,62.769993,6,95.273293,22.8,71.183787,30,69.780699,0.775,15.404175,16.3,65.25286,0.028,84.214473,7522.662341,93.84671
39,South Carolina,south carolina,0.926,17.163843,0.005178761,18.803928,0.003735549,32.070428,0.021517163,25.749047,Policy in place,100,7.579259,3.523955,31584.70588,34.784812,150.588235,22.59941,0.058097313,13.500044,0.000481884,88.837857,16.1,13.841633,0.3,11.528345,2.2,3.598035,17.4,14.32165,95.6,9.812264,109.7,7.717653,0.905,75.981682,2.6,13.404928,0.009,7.878864,10426.89326,39.373483
40,South Dakota,south dakota,0.882,50.973963,0.004828772,18.079447,0.008208675,73.746142,0.039456745,79.2307,No policy,0,5.395379,15.20449,29193.75,52.600457,190.625,44.200023,0.089644513,52.261447,0,100.003383,14.7,19.015364,0.073525429,88.198849,0.8,84.570748,16.7,16.915092,12.2,91.417116,18.3,89.496157,0.665,1.41738,1.9,8.792742,0.015,31.018463,10927.83934,29.805794
41,Tennessee,tennessee,0.932,13.115712,0.007505327,23.459724,0.001492641,9.608177,0.013026947,5.898642,Policy in place,100,4.570162,25.907375,31480.08214,35.498336,95.277207,2.685707,0.044987147,4.734088,0.001537121,77.277085,14.5,20.087385,0.1,79.447362,1.1,55.342776,15.5,22.313511,73.7,16.943073,85.8,14.539886,0.837,39.376473,4.4,25.061593,0.02,55.427215,11057.69179,27.573965
42,Texas,texas,0.914,25.556803,0.016306425,39.322901,0.002750344,21.495023,0.016153858,11.496272,Policy in place,100,4.972987,20.03581,31302.54096,36.726277,181.785799,39.435645,0.073334595,30.360714,0.009311668,35.609398,10.9,43.272182,0.2,42.30478,1.6,21.200812,12,46.357602,74.8,16.457874,95.9,11.071372,0.94,90.884772,10.9,52.440252,0.016,35.885392,9260.197877,65.131893
43,Utah,utah,0.884,50.000148,0.025041584,52.691915,0.009850682,83.1251,0.025670072,39.333531,No policy,0,1.190947,99.274737,29367.6815,51.228237,266.978923,76.432031,0.126,88.027389,0.006332991,46.692251,7.7,74.215136,0.2,51.042324,1,69.091031,8.7,76.857181,21.2,74.172789,35.7,60.167009,0.819,30.959248,15.9,64.353973,0.026,78.795617,9315.679761,63.898064
44,Vermont,vermont,0.839,80.353222,0.011859022,31.615522,0.009788946,82.829823,0.060941759,98.570374,Policy in place,100,3.674397,44.242823,28584,57.440492,268,76.733067,0.107,73.400589,0,100.003383,10.4,47.712077,0.031979185,95.529545,0.7,87.488716,12.3,43.367913,4.2,99.684326,12.5,96.621625,0.842,41.89529,4.4,24.851925,0.022,64.32089,11401.58239,22.198893
45,Virginia,virginia,0.875,56.974713,0.043992117,73.957979,0.00384857,33.305744,0.02216633,27.779573,Policy in place,100,2.577374,74.863183,29073.28605,53.553928,230.665316,63.470525,0.090780343,53.769573,0.009418095,35.286741,8.5,66.04642,0.1,68.866306,1,69.923417,9.7,67.220256,36.4,48.087094,42.7,49.604737,0.784,17.990084,33.9,83.769417,0.014,26.31711,9989.574451,48.730149
46,Washington,washington,0.834,82.687677,0.058275125,84.095245,0.009334193,80.522513,0.03577316,70.726794,Policy in place,100,2.102876,87.239938,23841.44427,89.239858,260.204082,74.350142,0.117,81.916948,0.011409258,30.001535,5.9,89.796153,0.1,65.867414,0.9,72.700708,7,89.850103,15.4,85.571606,27.3,74.539703,0.969,97.755796,36,84.939519,0.032,91.789429,8349.297292,83.234918
47,West Virginia,west virginia,0.924,18.281053,0.007300116,23.058704,0.000888662,5.122905,0.031799664,59.475031,No policy,0,5.11666,18.252084,28526.03471,57.901281,133.511348,14.421047,0.086051353,47.42169,0,100.003383,17.5,9.917705,0.064836162,90.160084,1.1,63.226704,19,9.959099,52.1,30.487745,36.7,58.537179,0.84,40.879329,4.4,24.8113,0.007,3.712853,10221.69555,43.671505
48,Wisconsin,wisconsin,0.896,39.413729,0.017994671,42.08949,0.008734473,77.10733,0.032733559,62.293634,Policy in place,100,3.493722,48.845872,28852.88889,55.302923,200.444444,49.33194,0.088744148,51.057407,0.004331067,56.953141,9.3,58.50637,0.2,53.126352,0.9,79.287076,10.3,61.1556,22.5,71.753344,26.1,76.679,0.799,22.975124,12.4,56.735762,0.013,21.862884,9529.510903,59.087644
49,Wyoming,wyoming,0.875,56.644595,0.015314402,37.656447,0.011799678,90.493836,0.032454361,61.46118,No policy,0,6.936905,5.421547,33870.8134,21.29384,186.602871,42.045335,0.079646018,38.708563,0,100.003383,24.1,2.095577,0.1,64.760038,0.9,79.926657,27.4,1.265418,15.9,84.638333,23.5,81.172291,0.77,14.093703,0.8,2.14177,0.012,17.732354,16295.49263,0.300435
